"data","cnpj_basico","opition_pelo_simples","date_opcion_simples","date_exclusion_simples","option_mei","date_option_mei","date_exclusion_mei"
"02/2023",4573221,"N",20070701,20070701,"N",0,0
"02/2023",4598204,"S",20110101,0,"N",0,0
"02/2023",4617158,"N",20070701,20070701,"N",0,0
"02/2023",4643693,"S",20160101,0,"N",0,0
"02/2023",4698732,"N",20140101,20151231,"N",0,0
"02/2023",4750248,"N",20150101,20180531,"N",0,0
"02/2023",4761129,"N",20130101,20131231,"N",0,0
"02/2023",4808320,"N",20070701,20081231,"N",0,0
"02/2023",4824471,"S",20160101,0,"N",0,0
"02/2023",4856043,"N",20070701,20070701,"N",0,0
"02/2023",4870076,"N",20120101,20161231,"N",0,0
"02/2023",4872117,"N",20070701,20070701,"N",0,0
"02/2023",4977637,"N",20080101,20080101,"N",0,0
"02/2023",4985197,"N",20130101,20161231,"N",0,0
"02/2023",4993208,"N",20070701,20081231,"N",0,0
"02/2023",5033531,"N",20080101,20161231,"N",0,0
"02/2023",5038684,"N",20070701,20070701,"N",0,0
"02/2023",5041145,"N",20070701,20070701,"N",0,0
"02/2023",5093501,"N",20180101,20201231,"N",0,0
"02/2023",5110913,"S",20070701,0,"N",0,0
"02/2023",5155497,"N",20070701,20190422,"N",0,0
"02/2023",5169266,"S",20070701,0,"N",0,0
"02/2023",5188117,"N",20070701,20121231,"N",0,0
"02/2023",5218036,"S",20070701,0,"N",0,0
"02/2023",5220305,"S",20160101,0,"N",0,0
"02/2023",5245911,"N",20070701,20071231,"N",0,0
"02/2023",5261642,"N",20110101,20111231,"N",0,0
"02/2023",5309826,"N",20090101,20121231,"N",0,0
"02/2023",5314536,"N",20070701,20070701,"N",0,0
"02/2023",5336547,"N",20090101,20161231,"N",0,0
"02/2023",5347876,"N",20070701,20150209,"N",0,0
"02/2023",5366070,"N",20120101,20120101,"N",0,0
"02/2023",5430184,"N",20170101,20181231,"N",0,0
"02/2023",5435866,"N",20070701,20070701,"N",0,0
"02/2023",5470389,"N",20070701,20160609,"N",0,0
"02/2023",5473056,"N",20090101,20121231,"N",0,0
"02/2023",5475170,"N",20170101,20181231,"N",0,0
"02/2023",5504058,"N",20070701,20151231,"N",0,0
"02/2023",5537666,"S",20070701,0,"N",0,0
"02/2023",5553109,"N",20110101,20171215,"N",0,0
"02/2023",5559312,"N",20080101,20161231,"N",0,0
"02/2023",5559670,"N",20070701,20070701,"N",0,0
"02/2023",5576694,"S",20070701,0,"N",0,0
"02/2023",5596581,"N",20090101,20181231,"N",0,0
"02/2023",5623875,"S",20100101,0,"N",0,0
"02/2023",5629338,"N",20070701,20071231,"N",0,0
"02/2023",5632250,"N",20070701,20071231,"N",0,0
"02/2023",5743607,"N",20080101,20161231,"N",0,0
"02/2023",5746582,"S",20070701,0,"N",0,0
"02/2023",5800259,"S",20110101,0,"N",0,0
"02/2023",5809825,"N",20070701,20161231,"N",0,0
"02/2023",5830069,"N",20110101,20181231,"N",0,0
"02/2023",5849041,"N",20100101,20120731,"N",0,0
"02/2023",5860550,"N",20070701,20070701,"N",0,0
"02/2023",5876366,"S",20210101,0,"N",0,0
"02/2023",5933020,"N",20090101,20171231,"N",0,0
"02/2023",5948270,"N",20080101,20131231,"N",0,0
"02/2023",5953198,"N",20070701,20151231,"N",0,0
"02/2023",5954790,"N",20100101,20151231,"N",0,0
"02/2023",5963688,"N",20120101,20190205,"N",0,0
"02/2023",5965738,"N",20090101,20130315,"N",0,0
"02/2023",5995624,"N",20100101,20131231,"N",0,0
"02/2023",5995753,"N",20070701,20081231,"N",0,0
"02/2023",6015015,"N",20070701,20070701,"N",0,0
"02/2023",6051218,"N",20080101,20140228,"N",0,0
"02/2023",6066171,"N",20080101,20181231,"N",0,0
"02/2023",6072911,"N",20070701,20111130,"N",0,0
"02/2023",6080318,"S",20090101,0,"N",0,0
"02/2023",6086048,"S",20150101,0,"N",0,0
"02/2023",6103689,"N",20090101,20090101,"N",0,0
"02/2023",6117763,"N",20080101,20080101,"N",0,0
"02/2023",6158846,"N",20150101,20191231,"N",0,0
"02/2023",6214131,"N",20070701,20161231,"N",0,0
"02/2023",6222413,"N",20070701,20171231,"N",0,0
"02/2023",6235792,"S",20090101,0,"N",0,0
"02/2023",6246127,"S",20070701,0,"N",0,0
"02/2023",6284868,"N",20070701,20171231,"N",0,0
"02/2023",6286920,"N",20090101,20090101,"N",0,0
"02/2023",6287179,"N",20170101,20221231,"N",0,0
"02/2023",6290500,"N",20080101,20150515,"N",0,0
"02/2023",6321146,"N",20070701,20110726,"N",0,0
"02/2023",6369895,"N",20070701,20211231,"N",0,0
"02/2023",6697321,"N",20070701,20150630,"N",0,0
"02/2023",6866279,"N",20070701,20091231,"N",0,0
"02/2023",6940637,"N",20070701,20070701,"N",0,0
"02/2023",6968664,"N",20070701,20091231,"N",0,0
"02/2023",6982369,"N",20070701,20121231,"N",0,0
"02/2023",6997577,"N",20090101,20090101,"N",0,0
"02/2023",7002661,"N",20070701,20071231,"N",0,0
"02/2023",7081322,"N",20090101,20111231,"N",0,0
"02/2023",7157196,"S",20100101,0,"N",0,0
"02/2023",7199012,"N",20120101,20181231,"N",0,0
"02/2023",7212773,"S",20070701,0,"N",0,0
"02/2023",7217922,"N",20170101,20170101,"N",0,0
"02/2023",7220281,"S",20080101,0,"N",0,0
"02/2023",7259816,"N",20070701,20081231,"N",0,0
"02/2023",7289968,"N",20070701,20071231,"N",0,0
"02/2023",7311289,"N",20070701,20070701,"N",0,0
"02/2023",7364279,"S",20090101,0,"N",0,0
"02/2023",7370784,"N",20070701,20071231,"N",0,0
"02/2023",7417529,"N",20110101,20120131,"N",0,0
"02/2023",7432753,"N",20140101,20191231,"N",0,0
"02/2023",7453592,"S",20150101,0,"N",0,0
"02/2023",7465102,"S",20100101,0,"N",0,0
"02/2023",32576947,"N",20190128,20220930,"N",20190128,20220731
"02/2023",32892397,"S",20200101,0,"N",0,0
"02/2023",33895221,"S",20210101,0,"N",0,0
"02/2023",33921491,"S",20190613,0,"N",0,0
"02/2023",34017848,"S",20140101,0,"N",0,0
"02/2023",34347138,"N",20070701,20081231,"N",0,0
"02/2023",34455722,"N",20190807,20210131,"N",0,0
"02/2023",34504742,"S",20190812,0,"N",0,0
"02/2023",34691022,"N",20160101,20160101,"N",0,0
"02/2023",35016714,"S",20200101,0,"N",0,0
"02/2023",35350864,"S",20191030,0,"N",0,0
"02/2023",35363650,"N",20200101,20220731,"N",0,0
"02/2023",35928452,"S",20200108,0,"N",0,0
"02/2023",36364435,"S",20210101,0,"N",0,0
"02/2023",37131258,"N",20200513,20220727,"N",0,0
"02/2023",37590022,"N",20200702,20220430,"N",0,0
"02/2023",38016507,"N",20150101,20150101,"N",0,0
"02/2023",38347205,"S",20200904,0,"N",0,0
"02/2023",39283436,"N",20201002,20211231,"N",0,0
"02/2023",39711349,"S",20201109,0,"N",0,0
"02/2023",40065131,"S",20201209,0,"N",0,0
"02/2023",40098736,"S",20210101,0,"N",0,0
"02/2023",40099911,"S",20220101,0,"N",0,0
"02/2023",40104351,"S",20201214,0,"N",0,0
"02/2023",40203945,"N",20160101,20191231,"N",0,0
"02/2023",40355218,"S",20210112,0,"N",0,0
"02/2023",40488124,"S",20150101,0,"N",0,0
"02/2023",40649763,"S",20220101,0,"N",0,0
"02/2023",40853910,"S",20210212,0,"N",0,0
"02/2023",40997520,"N",20070701,20161231,"N",0,0
"02/2023",41366772,"S",20210325,0,"N",0,0
"02/2023",42020451,"N",20210520,20221231,"N",0,0
"02/2023",42065102,"S",20070701,0,"N",0,0
"02/2023",42150361,"S",20210531,0,"N",0,0
"02/2023",42185755,"S",20210602,0,"N",0,0
"02/2023",43117453,"S",20210813,0,"N",0,0
"02/2023",43487017,"S",20210913,0,"N",0,0
"02/2023",44286111,"S",20220101,0,"N",0,0
"02/2023",44538958,"S",20211209,0,"N",0,0
"02/2023",44640404,"S",20211220,0,"N",0,0
"02/2023",44727430,"S",20220104,0,"N",0,0
"02/2023",7508656,"S",20120101,0,"N",0,0
"02/2023",7529427,"N",20110101,20171023,"N",0,0
"02/2023",7547785,"N",20070701,20121231,"N",0,0
"02/2023",7560354,"N",20090101,20101231,"N",0,0
"02/2023",7573159,"S",20070701,0,"N",0,0
"02/2023",7582914,"N",20070701,20161231,"N",0,0
"02/2023",7591259,"S",20070701,0,"N",0,0
"02/2023",7640811,"N",20160101,20160101,"N",0,0
"02/2023",7650155,"S",20070701,0,"N",0,0
"02/2023",7715420,"N",20070701,20090831,"N",0,0
"02/2023",7722172,"N",20070701,20171212,"N",0,0
"02/2023",7758033,"S",20080101,0,"N",0,0
"02/2023",7765723,"N",20080101,20181231,"N",0,0
"02/2023",7768668,"N",20070701,20151231,"N",0,0
"02/2023",7774486,"S",20070701,0,"N",0,0
"02/2023",7779501,"N",20070701,20121231,"N",0,0
"02/2023",7784213,"S",20080101,0,"N",0,0
"02/2023",7803386,"N",20100101,20121231,"N",0,0
"02/2023",7847563,"N",20070701,20081231,"N",0,0
"02/2023",7851434,"N",20070701,20130626,"N",0,0
"02/2023",7855833,"S",20070701,0,"N",0,0
"02/2023",7867127,"N",20070701,20121231,"N",0,0
"02/2023",7870197,"N",20070701,20070701,"N",0,0
"02/2023",7882588,"N",20070701,20091231,"N",0,0
"02/2023",7886899,"N",20160101,20171231,"N",0,0
"02/2023",7905448,"N",20080101,20080101,"N",0,0
"02/2023",7923843,"N",20100101,20141231,"N",0,0
"02/2023",7931924,"N",20070701,20070701,"N",0,0
"02/2023",7954262,"N",20070701,20111231,"N",0,0
"02/2023",7978329,"N",20070701,20070701,"N",0,0
"02/2023",7982362,"N",20080101,20080101,"N",0,0
"02/2023",8000487,"S",20070701,0,"N",0,0
"02/2023",8038442,"N",20150101,20150331,"N",0,0
"02/2023",8048108,"N",20160101,20161231,"N",0,0
"02/2023",8054964,"N",20070701,20111231,"N",0,0
"02/2023",8062001,"N",20090101,20101231,"N",0,0
"02/2023",8106553,"N",20160101,20160101,"N",0,0
"02/2023",8144387,"N",20080101,20080101,"N",0,0
"02/2023",8186143,"N",20150101,20171231,"N",0,0
"02/2023",8191334,"N",20070701,20141231,"N",0,0
"02/2023",8230309,"N",20070701,20141231,"N",0,0
"02/2023",8243942,"S",20070701,0,"N",0,0
"02/2023",8247895,"N",20080101,20101231,"N",0,0
"02/2023",8251782,"N",20080101,20101231,"N",0,0
"02/2023",8252205,"S",20070701,0,"N",0,0
